date,open,high,low,close,volume,next_day_close
02-01-2014,52.401428,52.511429,51.542858,51.831429,12325600,51.871429
03-01-2014,52,52.495712,51.842857,51.871429,10817100,51.367142
06-01-2014,51.889999,52.044285,50.475716,51.367142,15501500,48.5
07-01-2014,49.684284,49.69857,48.152859,48.5,36167600,48.712856
08-01-2014,48.104286,49.425713,48.074287,48.712856,20001100,48.150002
09-01-2014,48.824287,49.139999,47.857143,48.150002,17007200,47.44857
10-01-2014,48.295715,48.377144,47.218571,47.44857,16237900,48.115715
13-01-2014,47.304287,49.810001,47.304287,48.115715,27237000,48.279999
14-01-2014,48.777142,48.799999,47.509998,48.279999,19740000,47.197144
15-01-2014,47.857143,48.367142,45.581429,47.197144,40432000,47.382858
16-01-2014,46.915714,47.695713,46.002857,47.382858,21135800,47.148571
17-01-2014,47.438572,47.831429,46.89143,47.148571,16417100,46.958572
21-01-2014,47.46143,47.495712,45.75,46.958572,25220300,47.675713
22-01-2014,47.07143,47.777142,46.764286,47.675713,48342000,55.531429
23-01-2014,55.342857,56.51857,53.927143,55.531429,91280000,55.154285
24-01-2014,54.811428,55.814285,54.76857,55.154285,35466900,54.46143
27-01-2014,55.341431,55.92857,52.937141,54.46143,32526900,58.110001
28-01-2014,54.474285,58.201427,54.394287,58.110001,43590400,57.202858
29-01-2014,57.58857,58.191429,56.864285,57.202858,28968100,57.810001
30-01-2014,58.157143,58.455715,57.35857,57.810001,18379200,58.475716
31-01-2014,57.472858,58.914288,57.471428,58.475716,23625000,57.76857
03-02-2014,58.842857,58.878571,57.245712,57.76857,20145300,57.987144
04-02-2014,57.921429,58.361427,56.715714,57.987144,18066300,57.774284
05-02-2014,57.592857,58.25,56.857143,57.774284,16762900,58.272858
06-02-2014,58.060001,58.701427,57.202858,58.272858,12852000,61.425713
07-02-2014,59.062859,61.5,58.651428,61.425713,32921000,61.491428
10-02-2014,61.347141,61.767143,60.611427,61.491428,13812400,61.998569
11-02-2014,61.422855,62.251431,60.787144,61.998569,13667500,61.275715
12-02-2014,62.111427,62.128571,60.791428,61.275715,15673000,62.364285
13-02-2014,60.812859,62.784286,60.714287,62.364285,18700500,62.215714
14-02-2014,62.437141,62.528572,61.669998,62.215714,11985400,62.407143
18-02-2014,62.422855,63.034286,61.142857,62.407143,15507800,61.175713
19-02-2014,61.667145,62.32143,61.138573,61.175713,16031400,62.135715
20-02-2014,61.478573,62.53857,61.308571,62.135715,11965100,61.747143
21-02-2014,62.671429,62.671429,61.378571,61.747143,13483400,63.857143
24-02-2014,62.209999,64.241432,61.214287,63.857143,26043500,64.718575
25-02-2014,64.285713,65.398567,63.57143,64.718575,18700500,64.112854
26-02-2014,65.128571,65.14286,63.714287,64.112854,15010100,64.604286
27-02-2014,63.977142,64.875717,63.977142,64.604286,10304700,63.66143
28-02-2014,64.732857,64.885712,63,63.66143,15751400,63.655712
03-03-2014,63.027142,63.67857,62.585712,63.655712,13528200,64.997147
04-03-2014,64.417145,65,63.655712,64.997147,12387900,64.785713
05-03-2014,64.855713,65.262856,64.558571,64.785713,10868900,64.358574
06-03-2014,64.991432,65.428574,64.141426,64.358574,11809000,64.052856
07-03-2014,64.867142,64.934288,63.644287,64.052856,11573800,62.849998
10-03-2014,64.067146,64.111427,61.728573,62.849998,15439200,62.497143
11-03-2014,63.234287,63.811428,62.235714,62.497143,10448200,62.368572
12-03-2014,61.954285,62.785713,61.382858,62.368572,12134500,61.437141
13-03-2014,62.815716,62.897144,61.182858,61.437141,11390400,60.64143
14-03-2014,61.104286,62.14143,60.42857,60.64143,14989100,60.388573
17-03-2014,61.169998,61.542858,60.330002,60.388573,10695300,60.035713
18-03-2014,60.33857,60.894287,59.5,60.035713,14688100,60.012856
19-03-2014,59.98143,60.778572,59.580002,60.012856,10531500,60.610001
20-03-2014,59.952858,61.742859,59.92857,60.610001,14494900,57.998569
21-03-2014,60.871429,61.191429,57.962856,57.998569,26770800,54.128571
24-03-2014,57.927143,58.064285,52.657143,54.128571,42483700,52.977142
25-03-2014,54.142857,54.990002,52.25,52.977142,30356900,53.182858
26-03-2014,53.287144,53.921429,52.367142,53.182858,27152300,52.025715
27-03-2014,53.001431,53.975716,51.647144,52.025715,28672000,51.267143
28-03-2014,51.459999,52.714287,50.82143,51.267143,24699500,50.290001
31-03-2014,51.644287,52.408569,49.982857,50.290001,22125600,52.098572
01-04-2014,50.25,52.17857,50.248569,52.098572,21338800,51.84
02-04-2014,52.237144,53.007141,51.185715,51.84,24194100,50.669998
03-04-2014,51.618572,52.157143,50.014286,50.669998,21983500,48.187141
04-04-2014,50.778572,50.857143,47.982857,48.187141,34958000,48.285713
07-04-2014,48.644287,49.741428,47.30143,48.285713,37351300,49.841431
08-04-2014,48.578571,50.112858,48.341431,49.841431,25761400,50.432858
09-04-2014,50.147144,50.557144,49.021427,50.432858,20511400,47.818569
10-04-2014,50.639999,51.068569,47.715714,47.818569,24871000,46.672855
11-04-2014,47.257141,47.831429,46.23,46.672855,30146200,47.368572
14-04-2014,47.555714,47.857143,46.505714,47.368572,17994200,46.610001
15-04-2014,47.011429,47.367142,44.585712,46.610001,30799300,47.344288
16-04-2014,47.292858,47.709999,46.194286,47.344288,16114700,49.39143
17-04-2014,48.10857,49.96143,47.5,49.39143,32116000,49.784286
21-04-2014,49.900002,49.914288,48.328571,49.784286,47892600,53.271427
22-04-2014,53.804287,54.41143,52.118572,53.271427,64702400,50.5
23-04-2014,51.818569,52.5,50.42857,50.5,40285000,49.152859
24-04-2014,50.357143,50.842857,47.828571,49.152859,30639000,46.011429
25-04-2014,48.208572,48.772858,46,46.011429,33071500,44.887142
28-04-2014,45.435715,45.842857,42.785713,44.887142,47123300,45.695713
29-04-2014,44.605713,46.375713,44.575714,45.695713,23132900,46.005714
30-04-2014,45.417145,46.057144,44.32143,46.005714,23618700,48.074287
01-05-2014,46.292858,49.384285,46.150002,48.074287,37001300,48.664288
02-05-2014,48.215714,49.128571,47.721428,48.664288,26194700,49.197144
05-05-2014,48.295715,49.354286,48.014286,49.197144,20330800,46.598572
06-05-2014,49.102856,49.674286,46.52,46.598572,22722700,45.791428
07-05-2014,46.59,46.834286,45.029999,45.791428,25680900,45.951427
08-05-2014,45.308571,47.388573,44.908569,45.951427,21168700,46.935715
09-05-2014,46.011429,47.134285,45.335712,46.935715,17968300,49.349998
12-05-2014,47.265713,49.361427,47.217144,49.349998,21395500,49.591431
13-05-2014,49.207142,50.610001,48.677143,49.591431,20832000,50.26857
14-05-2014,49.578571,50.628571,49.437141,50.26857,19891900,49.169998
15-05-2014,50.121429,50.255714,48.482857,49.169998,23370200,49.982857
16-05-2014,49.352856,49.995712,48.548573,49.982857,19072200,52.07143
19-05-2014,49.57143,52.459999,49.507141,52.07143,25393200,53.095715
20-05-2014,52.144287,53.242859,51.771427,53.095715,28828100,55.799999
21-05-2014,53.58857,55.812859,53.335712,55.799999,39939900,55.971428
22-05-2014,55.84,56.785713,55.357143,55.971428,33222700,57.478573
23-05-2014,55.94857,57.495712,55.665714,57.478573,22122100,56.972858
27-05-2014,57.42857,57.459999,56.164288,56.972858,26735100,57.32
28-05-2014,56.742859,57.885715,56.214287,57.32,19873700,59.314285
29-05-2014,57.628571,59.427143,57.078571,59.314285,22844500,59.689999
30-05-2014,59.311428,60.248569,58.80143,59.689999,29248800,60.294285
02-06-2014,59.925713,60.415714,58.92857,60.294285,20480600,59.652859
03-06-2014,59.998569,60.799999,59.578571,59.652859,17133200,60.458572
04-06-2014,59.537144,60.642857,59.042858,60.458572,17432800,61.192856
05-06-2014,60.535713,61.342857,59.795715,61.192856,18930800,61.447144
06-06-2014,61.43,62.127144,61.194286,61.447144,15730400,60.441429
